Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Optimization,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward
UNKNOWN,la06,[' 143+'],[' 144'],"[' 600.014s (Solving', ' 599.90s 1st Model', ' 0.12s Unsat', ' 0.00s)']",[' 599.813s'], ,[' 81159289'],"[' 11152187 (Analyzed', ' 11152187)']","[' 18588    (Average', ' 599.97 Last', ' 101)']",[' 495.5   '],"[' 144      (Average Length', ' 1.00 Splits', ' 0)']","[' 37315867 (Deleted', ' 36892799)']","[' 160      (Ratio', '   0.00%)']","[' 2925     (Ratio', '   0.01%)']","[' 11152187 (Average Length', '   14.4 Ratio', '  29.89%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26163680 (Average Length', '   12.2 Ratio', '  70.11%) ']","[' 11152187 (Average', '  1.47 Max', ' 433 Sum', ' 16400608)']","[' 11152187 (Average', '  1.47 Max', ' 433 Sum', ' 16400608 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 3469    '],[' 600     '],[' 3394    '],[' 2896    '],"[' 7634     (Atom=Atom', ' 1844 Body=Body', ' 1845 Other', ' 3945)']",[' Yes'],"[' 743      (Eliminated', '    0 Frozen', '  600)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 926'],[' 0.0193028'],[' 0'], ,[' 223.488'],[' 0'],[' 7.00841'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.18151e+08'],[' 1.9959e+08'],[' 0'],[' 1.69438e+10'],[' 0'],[' 0']
UNKNOWN,la07,[' 165+'],[' 166'],"[' 600.003s (Solving', ' 599.89s 1st Model', ' 0.42s Unsat', ' 0.00s)']",[' 599.797s'], ,[' 81628110'],"[' 10098197 (Analyzed', ' 10098197)']","[' 16837    (Average', ' 599.76 Last', ' 265)']",[' 477.5   '],"[' 166      (Average Length', ' 1.00 Splits', ' 0)']","[' 35748010 (Deleted', ' 35357797)']","[' 117      (Ratio', '   0.00%)']","[' 2697     (Ratio', '   0.01%)']","[' 10098197 (Average Length', '   14.5 Ratio', '  28.25%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25649813 (Average Length', '   12.0 Ratio', '  71.75%) ']","[' 10098197 (Average', '  1.43 Max', ' 287 Sum', ' 14460845)']","[' 10098197 (Average', '  1.43 Max', ' 287 Sum', ' 14460845 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 3491    '],[' 600     '],[' 3416    '],[' 2896    '],"[' 7634     (Atom=Atom', ' 1844 Body=Body', ' 1845 Other', ' 3945)']",[' Yes'],"[' 765      (Eliminated', '    0 Frozen', '  600)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 890'],[' 0.0226377'],[' 0'], ,[' 221.249'],[' 0'],[' 6.88083'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.21018e+08'],[' 2.08777e+08'],[' 0'],[' 1.70928e+10'],[' 0'],[' 0']
UNKNOWN,la08,[' 169+'],[' 170'],"[' 600.000s (Solving', ' 599.91s 1st Model', ' 0.19s Unsat', ' 0.00s)']",[' 599.859s'], ,[' 106011847'],"[' 10035406 (Analyzed', ' 10035406)']","[' 16389    (Average', ' 612.33 Last', ' 314270)']",[' 479.0   '],"[' 170      (Average Length', ' 1.00 Splits', ' 0)']","[' 32872375 (Deleted', ' 32523256)']","[' 130      (Ratio', '   0.00%)']","[' 3203     (Ratio', '   0.01%)']","[' 10035406 (Average Length', '   14.8 Ratio', '  30.53%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22836969 (Average Length', '   11.6 Ratio', '  69.47%) ']","[' 10035406 (Average', '  1.73 Max', ' 301 Sum', ' 17340149)']","[' 10035406 (Average', '  1.73 Max', ' 301 Sum', ' 17340149 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 3495    '],[' 600     '],[' 3420    '],[' 2896    '],"[' 7634     (Atom=Atom', ' 1844 Body=Body', ' 1845 Other', ' 3945)']",[' Yes'],"[' 769      (Eliminated', '    0 Frozen', '  600)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 863'],[' 0.0222583'],[' 0'], ,[' 216.272'],[' 0'],[' 8.11058'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.58528e+08'],[' 3.2315e+08'],[' 0'],[' 1.62314e+10'],[' 0'],[' 0']
UNKNOWN,la09,[' 140+'],[' 141'],"[' 600.012s (Solving', ' 599.92s 1st Model', ' 0.14s Unsat', ' 0.00s)']",[' 598.953s'], ,[' 72546487'],"[' 9794447  (Analyzed', ' 9794447)']","[' 16385    (Average', ' 597.77 Last', ' 125047)']",[' 490.6   '],"[' 141      (Average Length', ' 1.00 Splits', ' 0)']","[' 32362287 (Deleted', ' 31975927)']","[' 131      (Ratio', '   0.00%)']","[' 2661     (Ratio', '   0.01%)']","[' 9794447  (Average Length', '   14.5 Ratio', '  30.27%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22567840 (Average Length', '   12.2 Ratio', '  69.73%) ']","[' 9794447  (Average', '  1.44 Max', ' 292 Sum', ' 14087937)']","[' 9794447  (Average', '  1.44 Max', ' 292 Sum', ' 14087937 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 3466    '],[' 600     '],[' 3391    '],[' 2896    '],"[' 7634     (Atom=Atom', ' 1844 Body=Body', ' 1845 Other', ' 3945)']",[' Yes'],"[' 740      (Eliminated', '    0 Frozen', '  600)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 951'],[' 0.018755'],[' 0'], ,[' 210.416'],[' 0'],[' 6.41971'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.80587e+08'],[' 1.80397e+08'],[' 0'],[' 1.4554e+10'],[' 0'],[' 0']
UNKNOWN,la10,[' 122+'],[' 123'],"[' 600.019s (Solving', ' 599.94s 1st Model', ' 0.16s Unsat', ' 0.00s)']",[' 599.969s'], ,[' 72270242'],"[' 10740214 (Analyzed', ' 10740214)']","[' 17203    (Average', ' 624.32 Last', ' 159)']",[' 498.1   '],"[' 123      (Average Length', ' 1.00 Splits', ' 0)']","[' 37434078 (Deleted', ' 36942362)']","[' 161      (Ratio', '   0.00%)']","[' 2847     (Ratio', '   0.01%)']","[' 10740214 (Average Length', '   14.2 Ratio', '  28.69%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26693864 (Average Length', '   12.2 Ratio', '  71.31%) ']","[' 10740214 (Average', '  1.46 Max', ' 283 Sum', ' 15656896)']","[' 10740214 (Average', '  1.46 Max', ' 283 Sum', ' 15656896 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 3448    '],[' 600     '],[' 3373    '],[' 2896    '],"[' 7634     (Atom=Atom', ' 1844 Body=Body', ' 1845 Other', ' 3945)']",[' Yes'],"[' 722      (Eliminated', '    0 Frozen', '  600)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 958'],[' 0.0173299'],[' 0'], ,[' 217.456'],[' 0'],[' 6.63178'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.88265e+08'],[' 1.73341e+08'],[' 0'],[' 1.54883e+10'],[' 0'],[' 0']
